Country,Fatal,Year
AUSTRALIA,N,2007
USA,N,2007
USA,U,2007
USA,N,2007
BAHAMAS,N,2007
USA,N,2007
REUNION,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,U,2007
USA,N,2007
USA,N,2007
UNITED KINGDOM,N,2007
AUSTRALIA,N,2007
AUSTRALIA,N,2007
USA,N,2007
AUSTRALIA,U,2007
USA,N,2007
USA,N,2007
BAHAMAS,N,2007
AUSTRALIA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
NEW CALEDONIA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
AUSTRALIA,N,2007
USA,N,2007
AUSTRALIA,N,2007
USA,N,2007
NEW ZEALAND,N,2007
AUSTRALIA,N,2007
NEW CALEDONIA,N,2007
USA,N,2007
AUSTRALIA,N,2007
AUSTRALIA,U,2007
SOUTH AFRICA,Y,2007
AUSTRALIA,N,2007
USA,U,2007
USA,N,2007
AUSTRALIA,N,2006
NEW ZEALAND,N,2006
USA,N,2006
SOUTH AFRICA,N,2006
AUSTRALIA,N,2006
USA,N,2006
SOUTH AFRICA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
BAHAMAS,N,2006
SOUTH AFRICA,U,2006
USA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
AUSTRALIA,U,2006
USA,N,2006
USA,N,2006
SOUTH AFRICA,N,2006
USA,N,2006
AUSTRALIA,N,2006
REUNION,N,2006
REUNION,Y,2006
SOUTH AFRICA,N,2006
SOUTH AFRICA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
SOUTH AFRICA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
SPAIN,U,2006
USA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
BAHAMAS,N,2006
USA,N,2006
BRAZIL,Y,2006
USA,N,2006
USA,N,2006
USA,N,2006
AUSTRALIA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
BRAZIL,N,2006
USA,N,2006
USA,N,2006
AUSTRALIA,N,2006
USA,N,2006
USA,N,2006
USA,N,2006
AUSTRALIA,N,2006
SOUTH AFRICA,N,2006
BRAZIL,N,2006
USA,N,2006
USA,N,2006
SOUTH AFRICA,U,2006
FIJI,N,2006
AUSTRALIA,N,2006
USA,N,2006
USA,U,2006
